;occupancy;co2;noise;humidity;temperature;room
2019-11-25 08:00:00+00:00;1;439,5059408;54,83497492;40,8983256;21,69792398;5
2019-11-25 08:30:00+00:00;0;439,2335307;55,17481486;42,13694445;21,76654911;5
2019-11-25 09:00:00+00:00;0;440,8611094;51,05833435;41,81416702;21,83166695;5
2019-11-25 09:30:00+00:00;0;476,7492625;51,05833435;41,81416702;21,83166695;5
2019-11-25 10:00:00+00:00;1;583,4956767;51,05833435;41,81416702;21,83166695;5
2019-11-25 10:30:00+00:00;1;557,416687;51,05833435;41,81416702;21,83166695;5
2019-11-25 11:00:00+00:00;0;557,416687;51,05833435;41,81416702;21,83166695;5
2019-11-25 11:30:00+00:00;0;557,416687;54,47136815;39,565787;23,66955439;5
2019-11-25 12:00:00+00:00;1;557,416687;53,22296906;42,86207644;22,57276853;5
2019-11-25 12:30:00+00:00;1;557,416687;53,11204974;44,10559972;22,1521918;5
2019-11-25 13:00:00+00:00;0;577,2526855;52,93611145;43,72122256;22,02499994;5
2019-11-25 13:30:00+00:00;0;629,7371724;52,03575325;43,04542033;22,01044846;5
2019-11-25 14:00:00+00:00;0;688,367808;53,54888916;41,92877769;22,46449979;5
2019-11-25 14:30:00+00:00;1;663,8277791;52,76325607;42,54178429;22,33701166;5
2019-11-25 15:00:00+00:00;0;595,7345174;51,05113029;42,86653837;21,94221624;5
2019-11-25 15:30:00+00:00;0;602,6333415;53,10111109;42,90261141;21,71788915;5
2019-11-25 16:00:00+00:00;0;665,1266378;53,47838974;42,70258967;21,98132388;5
2019-11-25 16:30:00+00:00;1;646,9189758;57,79333369;41,83605576;22,34811083;5
2019-11-25 17:00:00+00:00;1;587,4888916;60,35440636;42,61927541;22,21729883;5
2019-11-25 17:30:00+00:00;0;641,1877441;53,39277776;42,47949982;21,99638907;5
2019-11-25 18:00:00+00:00;0;609,8777771;50,11344846;42,16046778;21,79982758;5
2019-11-25 18:30:00+00:00;0;725,8528646;49,68869718;41,66063563;21,90212663;5
2019-11-25 19:00:00+00:00;0;698,7722066;49,60388883;41,38344447;21,98688889;5
2019-11-25 19:30:00+00:00;0;545,2664795;49,86166636;42,07647705;21,64327176;5
2019-11-25 20:00:00+00:00;0;478,7724152;49,44000053;42,94066556;21,2711668;5
2019-11-25 20:30:00+00:00;0;450,3166656;49,45283508;43,05923144;21,20701917;5
2019-11-25 21:00:00+00:00;0;441,8116862;49,43260511;43,02395693;21,22991753;5
2019-11-25 21:30:00+00:00;0;438,5;49,1483326;43,07105509;21,17038918;5
2019-11-25 22:00:00+00:00;0;427,5172424;49,01544126;43,26407242;21,12859631;5
2019-11-25 22:30:00+00:00;0;423,2741394;48,99888865;43,39350001;21,17849954;5
2019-11-25 23:00:00+00:00;0;424,7944387;48,96760496;43,57811864;21,15769768;5
2019-11-25 23:30:00+00:00;0;421,7272034;49,03277715;43,73111089;21,1428887;5
2019-11-26 00:00:00+00:00;0;422,3444519;49,07660929;43,8684756;21,11772442;5
2019-11-26 00:30:00+00:00;0;424,8321788;48,77544085;43,90489578;21,14141178;5
2019-11-26 01:00:00+00:00;0;424,799998;48,56055514;44,03827858;21,11100006;5
2019-11-26 01:30:00+00:00;0;423,5327555;48,50120672;44,09896533;21,11585649;5
2019-11-26 02:00:00+00:00;0;424,3940633;48,5049998;44,18583298;21,10855548;5
2019-11-26 02:30:00+00:00;0;422,7888896;48,52329508;44,19595846;21,13469156;5
2019-11-26 03:00:00+00:00;0;425,153834;48,47812271;44,31507619;21,10090033;5
2019-11-26 03:30:00+00:00;0;419,7611135;48,50833384;44,39505514;21,09383361;5
2019-11-26 04:00:00+00:00;0;418,3199209;48,49385071;44,51682409;21,07219315;5
2019-11-26 04:30:00+00:00;0;420,2551676;48,47666613;44,60316658;21,05661138;5
2019-11-26 05:00:00+00:00;0;420,6777802;48,52166621;44,55997531;21,09969139;5
